ligand_id,file_prefix,label,train_test_split,atom_count,xsize,ysize,zsize,p_atom_count1,p_atom_count2,p_xsize,p_ysize,p_zsize
185l,2/refined_train_3dnn/185l,3.54,2,0,0,0,0,0,0,0,0,0
186l,2/refined_train_3dnn/186l,4.85,2,0,0,0,0,0,0,0,0,0
187l,2/refined_train_3dnn/187l,3.37,2,0,0,0,0,0,0,0,0,0
188l,2/refined_train_3dnn/188l,3.33,2,0,0,0,0,0,0,0,0,0
1a1e,2/refined_train_3dnn/1a1e,6.0,2,0,0,0,0,0,0,0,0,0
1a28,2/refined_train_3dnn/1a28,8.29,2,0,0,0,0,0,0,0,0,0
1a4k,2/refined_train_3dnn/1a4k,8.0,2,0,0,0,0,0,0,0,0,0
1a4r,2/refined_train_3dnn/1a4r,6.66,2,0,0,0,0,0,0,0,0,0
1a69,2/refined_train_3dnn/1a69,5.3,2,0,0,0,0,0,0,0,0,0
1a94,2/refined_train_3dnn/1a94,7.85,2,0,0,0,0,0,0,0,0,0
1a9q,2/refined_train_3dnn/1a9q,6.17,2,0,0,0,0,0,0,0,0,0
1aaq,2/refined_train_3dnn/1aaq,8.4,2,0,0,0,0,0,0,0,0,0
1add,2/refined_train_3dnn/1add,6.74,2,0,0,0,0,0,0,0,0,0
1adl,2/refined_train_3dnn/1adl,5.36,2,0,0,0,0,0,0,0,0,0
1ado,2/refined_train_3dnn/1ado,6.0,2,0,0,0,0,0,0,0,0,0
1afk,2/refined_train_3dnn/1afk,6.62,2,0,0,0,0,0,0,0,0,0
1afl,2/refined_train_3dnn/1afl,6.28,2,0,0,0,0,0,0,0,0,0
1ai4,2/refined_train_3dnn/1ai4,2.5,2,0,0,0,0,0,0,0,0,0
1ai5,2/refined_train_3dnn/1ai5,3.72,2,0,0,0,0,0,0,0,0,0
1aid,2/refined_train_3dnn/1aid,4.82,2,0,0,0,0,0,0,0,0,0
1aj7,2/refined_train_3dnn/1aj7,3.87,2,0,0,0,0,0,0,0,0,0
1ajn,2/refined_train_3dnn/1ajn,2.63,2,0,0,0,0,0,0,0,0,0
1ajp,2/refined_train_3dnn/1ajp,2.23,2,0,0,0,0,0,0,0,0,0
1ajq,2/refined_train_3dnn/1ajq,4.31,2,0,0,0,0,0,0,0,0,0
1ajv,2/refined_train_3dnn/1ajv,7.72,2,0,0,0,0,0,0,0,0,0
1ajx,2/refined_train_3dnn/1ajx,7.91,2,0,0,0,0,0,0,0,0,0
1alw,2/refined_train_3dnn/1alw,6.52,2,0,0,0,0,0,0,0,0,0
1amk,2/refined_train_3dnn/1amk,4.3,2,0,0,0,0,0,0,0,0,0
1amw,2/refined_train_3dnn/1amw,4.54,2,0,0,0,0,0,0,0,0,0
1apv,2/refined_train_3dnn/1apv,9.0,2,0,0,0,0,0,0,0,0,0
1atl,2/refined_train_3dnn/1atl,6.28,2,0,0,0,0,0,0,0,0,0
1atr,2/refined_train_3dnn/1atr,6.96,2,0,0,0,0,0,0,0,0,0
1avn,2/refined_train_3dnn/1avn,3.9,2,0,0,0,0,0,0,0,0,0
1ax0,2/refined_train_3dnn/1ax0,3.13,2,0,0,0,0,0,0,0,0,0
1azm,2/refined_train_3dnn/1azm,6.1,2,0,0,0,0,0,0,0,0,0
1b0h,2/refined_train_3dnn/1b0h,6.7,2,0,0,0,0,0,0,0,0,0
1b1h,2/refined_train_3dnn/1b1h,7.03,2,0,0,0,0,0,0,0,0,0
1b2h,2/refined_train_3dnn/1b2h,4.54,2,0,0,0,0,0,0,0,0,0
1b32,2/refined_train_3dnn/1b32,7.1,2,0,0,0,0,0,0,0,0,0
1b3f,2/refined_train_3dnn/1b3f,6.89,2,0,0,0,0,0,0,0,0,0
1b3h,2/refined_train_3dnn/1b3h,6.21,2,0,0,0,0,0,0,0,0,0
1b3l,2/refined_train_3dnn/1b3l,5.89,2,0,0,0,0,0,0,0,0,0
1b40,2/refined_train_3dnn/1b40,7.28,2,0,0,0,0,0,0,0,0,0
1b46,2/refined_train_3dnn/1b46,5.28,2,0,0,0,0,0,0,0,0,0
1b4h,2/refined_train_3dnn/1b4h,5.46,2,0,0,0,0,0,0,0,0,0
1b4z,2/refined_train_3dnn/1b4z,5.23,2,0,0,0,0,0,0,0,0,0
1b51,2/refined_train_3dnn/1b51,7.37,2,0,0,0,0,0,0,0,0,0
1b52,2/refined_train_3dnn/1b52,7.12,2,0,0,0,0,0,0,0,0,0
1b55,2/refined_train_3dnn/1b55,7.4,2,0,0,0,0,0,0,0,0,0
1b57,2/refined_train_3dnn/1b57,8.0,2,0,0,0,0,0,0,0,0,0
1b58,2/refined_train_3dnn/1b58,6.59,2,0,0,0,0,0,0,0,0,0
1b5h,2/refined_train_3dnn/1b5h,6.01,2,0,0,0,0,0,0,0,0,0
1b5i,2/refined_train_3dnn/1b5i,7.05,2,0,0,0,0,0,0,0,0,0
1b5j,2/refined_train_3dnn/1b5j,7.43,2,0,0,0,0,0,0,0,0,0
1b6h,2/refined_train_3dnn/1b6h,7.82,2,0,0,0,0,0,0,0,0,0
1b6j,2/refined_train_3dnn/1b6j,7.92,2,0,0,0,0,0,0,0,0,0
1b6k,2/refined_train_3dnn/1b6k,8.74,2,0,0,0,0,0,0,0,0,0
1b6l,2/refined_train_3dnn/1b6l,8.3,2,0,0,0,0,0,0,0,0,0
1b8n,2/refined_train_3dnn/1b8n,10.52,2,0,0,0,0,0,0,0,0,0
1b8o,2/refined_train_3dnn/1b8o,10.64,2,0,0,0,0,0,0,0,0,0
1b8y,2/refined_train_3dnn/1b8y,7.85,2,0,0,0,0,0,0,0,0,0
1b9j,2/refined_train_3dnn/1b9j,5.96,2,0,0,0,0,0,0,0,0,0
1bai,2/refined_train_3dnn/1bai,7.7,2,0,0,0,0,0,0,0,0,0
1bdq,2/refined_train_3dnn/1bdq,6.34,2,0,0,0,0,0,0,0,0,0
1bgq,2/refined_train_3dnn/1bgq,8.57,2,0,0,0,0,0,0,0,0,0
1bhf,2/refined_train_3dnn/1bhf,4.38,2,0,0,0,0,0,0,0,0,0
1bhx,2/refined_train_3dnn/1bhx,6.84,2,0,0,0,0,0,0,0,0,0
1bju,2/refined_train_3dnn/1bju,4.8,2,0,0,0,0,0,0,0,0,0
1bjv,2/refined_train_3dnn/1bjv,5.54,2,0,0,0,0,0,0,0,0,0
1bm7,2/refined_train_3dnn/1bm7,7.52,2,0,0,0,0,0,0,0,0,0
1bma,2/refined_train_3dnn/1bma,4.59,2,0,0,0,0,0,0,0,0,0
1bn3,2/refined_train_3dnn/1bn3,9.89,2,0,0,0,0,0,0,0,0,0
1bn4,2/refined_train_3dnn/1bn4,9.31,2,0,0,0,0,0,0,0,0,0
1bnn,2/refined_train_3dnn/1bnn,10.0,2,0,0,0,0,0,0,0,0,0
1bnq,2/refined_train_3dnn/1bnq,9.49,2,0,0,0,0,0,0,0,0,0
1bnt,2/refined_train_3dnn/1bnt,9.8,2,0,0,0,0,0,0,0,0,0
1bnu,2/refined_train_3dnn/1bnu,9.7,2,0,0,0,0,0,0,0,0,0
1bnv,2/refined_train_3dnn/1bnv,8.77,2,0,0,0,0,0,0,0,0,0
1bnw,2/refined_train_3dnn/1bnw,9.08,2,0,0,0,0,0,0,0,0,0
1bp0,2/refined_train_3dnn/1bp0,5.4,2,0,0,0,0,0,0,0,0,0
1bq4,2/refined_train_3dnn/1bq4,5.22,2,0,0,0,0,0,0,0,0,0
1br6,2/refined_train_3dnn/1br6,3.22,2,0,0,0,0,0,0,0,0,0
1bv7,2/refined_train_3dnn/1bv7,10.3,2,0,0,0,0,0,0,0,0,0
1bv9,2/refined_train_3dnn/1bv9,9.96,2,0,0,0,0,0,0,0,0,0
1bwa,2/refined_train_3dnn/1bwa,8.6,2,0,0,0,0,0,0,0,0,0
1bwb,2/refined_train_3dnn/1bwb,8.42,2,0,0,0,0,0,0,0,0,0
1bxq,2/refined_train_3dnn/1bxq,7.38,2,0,0,0,0,0,0,0,0,0
1bxr,2/refined_train_3dnn/1bxr,3.4,2,0,0,0,0,0,0,0,0,0
1bzj,2/refined_train_3dnn/1bzj,4.66,2,0,0,0,0,0,0,0,0,0
1bzy,2/refined_train_3dnn/1bzy,8.34,2,0,0,0,0,0,0,0,0,0
1c1v,2/refined_train_3dnn/1c1v,7.64,2,0,0,0,0,0,0,0,0,0
1c3x,2/refined_train_3dnn/1c3x,3.68,2,0,0,0,0,0,0,0,0,0
1c4u,2/refined_train_3dnn/1c4u,10.37,2,0,0,0,0,0,0,0,0,0
1c5c,2/refined_train_3dnn/1c5c,6.96,2,0,0,0,0,0,0,0,0,0
1c5o,2/refined_train_3dnn/1c5o,3.49,2,0,0,0,0,0,0,0,0,0
1c5p,2/refined_train_3dnn/1c5p,4.68,2,0,0,0,0,0,0,0,0,0
1c5q,2/refined_train_3dnn/1c5q,6.36,2,0,0,0,0,0,0,0,0,0
1c5s,2/refined_train_3dnn/1c5s,6.0,2,0,0,0,0,0,0,0,0,0
1c5x,2/refined_train_3dnn/1c5x,6.68,2,0,0,0,0,0,0,0,0,0
1c5y,2/refined_train_3dnn/1c5y,4.2,2,0,0,0,0,0,0,0,0,0
1c70,2/refined_train_3dnn/1c70,10.3,2,0,0,0,0,0,0,0,0,0
1c83,2/refined_train_3dnn/1c83,4.85,2,0,0,0,0,0,0,0,0,0
1c84,2/refined_train_3dnn/1c84,5.0,2,0,0,0,0,0,0,0,0,0
1c86,2/refined_train_3dnn/1c86,4.7,2,0,0,0,0,0,0,0,0,0
1c87,2/refined_train_3dnn/1c87,4.2,2,0,0,0,0,0,0,0,0,0
1c88,2/refined_train_3dnn/1c88,5.29,2,0,0,0,0,0,0,0,0,0
1cbx,2/refined_train_3dnn/1cbx,6.35,2,0,0,0,0,0,0,0,0,0
1ceb,2/refined_train_3dnn/1ceb,6.0,2,0,0,0,0,0,0,0,0,0
1cet,2/refined_train_3dnn/1cet,2.89,2,0,0,0,0,0,0,0,0,0
1cgl,2/refined_train_3dnn/1cgl,6.87,2,0,0,0,0,0,0,0,0,0
1ciz,2/refined_train_3dnn/1ciz,7.44,2,0,0,0,0,0,0,0,0,0
1cnx,2/refined_train_3dnn/1cnx,7.37,2,0,0,0,0,0,0,0,0,0
1cny,2/refined_train_3dnn/1cny,7.85,2,0,0,0,0,0,0,0,0,0
1cps,2/refined_train_3dnn/1cps,6.66,2,0,0,0,0,0,0,0,0,0
1ctt,2/refined_train_3dnn/1ctt,4.52,2,0,0,0,0,0,0,0,0,0
1ctu,2/refined_train_3dnn/1ctu,11.92,2,0,0,0,0,0,0,0,0,0
1d09,2/refined_train_3dnn/1d09,7.57,2,0,0,0,0,0,0,0,0,0
1d2e,2/refined_train_3dnn/1d2e,6.0,2,0,0,0,0,0,0,0,0,0
1d3d,2/refined_train_3dnn/1d3d,9.09,2,0,0,0,0,0,0,0,0,0
1d4h,2/refined_train_3dnn/1d4h,10.0,2,0,0,0,0,0,0,0,0,0
1d4i,2/refined_train_3dnn/1d4i,8.85,2,0,0,0,0,0,0,0,0,0
1d4j,2/refined_train_3dnn/1d4j,8.36,2,0,0,0,0,0,0,0,0,0
1d4k,2/refined_train_3dnn/1d4k,9.22,2,0,0,0,0,0,0,0,0,0
1d4l,2/refined_train_3dnn/1d4l,8.77,2,0,0,0,0,0,0,0,0,0
1d4p,2/refined_train_3dnn/1d4p,6.3,2,0,0,0,0,0,0,0,0,0
1d4y,2/refined_train_3dnn/1d4y,11.1,2,0,0,0,0,0,0,0,0,0
1d6v,2/refined_train_3dnn/1d6v,6.17,2,0,0,0,0,0,0,0,0,0
1d6w,2/refined_train_3dnn/1d6w,5.96,2,0,0,0,0,0,0,0,0,0
1d7i,2/refined_train_3dnn/1d7i,3.6,2,0,0,0,0,0,0,0,0,0
1d7j,2/refined_train_3dnn/1d7j,3.3,2,0,0,0,0,0,0,0,0,0
1dar,2/refined_train_3dnn/1dar,4.96,2,0,0,0,0,0,0,0,0,0
1det,2/refined_train_3dnn/1det,4.3,2,0,0,0,0,0,0,0,0,0
1df8,2/refined_train_3dnn/1df8,9.7,2,0,0,0,0,0,0,0,0,0
1dgm,2/refined_train_3dnn/1dgm,5.05,2,0,0,0,0,0,0,0,0,0
1dhj,2/refined_train_3dnn/1dhj,6.55,2,0,0,0,0,0,0,0,0,0
1dif,2/refined_train_3dnn/1dif,10.66,2,0,0,0,0,0,0,0,0,0
1dl7,2/refined_train_3dnn/1dl7,6.49,2,0,0,0,0,0,0,0,0,0
1dmp,2/refined_train_3dnn/1dmp,9.55,2,0,0,0,0,0,0,0,0,0
1dqn,2/refined_train_3dnn/1dqn,8.0,2,0,0,0,0,0,0,0,0,0
1drj,2/refined_train_3dnn/1drj,7.4,2,0,0,0,0,0,0,0,0,0
1drk,2/refined_train_3dnn/1drk,6.82,2,0,0,0,0,0,0,0,0,0
1drv,2/refined_train_3dnn/1drv,6.54,2,0,0,0,0,0,0,0,0,0
1dud,2/refined_train_3dnn/1dud,4.82,2,0,0,0,0,0,0,0,0,0
1duv,2/refined_train_3dnn/1duv,11.8,2,0,0,0,0,0,0,0,0,0
1dy4,2/refined_train_3dnn/1dy4,4.36,2,0,0,0,0,0,0,0,0,0
1dzk,2/refined_train_3dnn/1dzk,6.1,2,0,0,0,0,0,0,0,0,0
1e1x,2/refined_train_3dnn/1e1x,5.89,2,0,0,0,0,0,0,0,0,0
1e2k,2/refined_train_3dnn/1e2k,4.94,2,0,0,0,0,0,0,0,0,0
1e2l,2/refined_train_3dnn/1e2l,4.29,2,0,0,0,0,0,0,0,0,0
1e3v,2/refined_train_3dnn/1e3v,4.34,2,0,0,0,0,0,0,0,0,0
1e4h,2/refined_train_3dnn/1e4h,8.41,2,0,0,0,0,0,0,0,0,0
1e6q,2/refined_train_3dnn/1e6q,3.15,2,0,0,0,0,0,0,0,0,0
1e6s,2/refined_train_3dnn/1e6s,3.22,2,0,0,0,0,0,0,0,0,0
